pair_id,idx_a,idx_b,euclidean,geodesic
0,580,435,0.5191870331764221,0.7726339925215828
1,349,184,0.1804257333278656,0.26854069066419034
2,210,27,0.5516093373298645,0.8432466630414435
3,51,11,0.16030287742614746,0.2161706781853956
4,802,1238,4.048755168914795,3.369528255554185
5,1126,1306,2.0618832111358643,2.1235531762104767
6,1026,1097,2.540828227996826,2.1152583831523604
7,2028,1863,1.227428913116455,2.1150461326239296
8,1797,1736,1.2340669631958008,1.140326526207461
9,1747,2003,0.7064566612243652,0.8938767483341669
10,568,1670,1.679724097251892,1.984947722681062
11,1373,5,1.6912944316864014,2.607174979532706
12,807,1755,2.73935604095459,2.92395043738404
13,1135,68,2.6690738201141357,3.8698371210248266
14,1733,359,1.844312071800232,2.9052573528966517
15,182,1767,4.754107475280762,4.883328488361616
16,45,1108,3.6653835773468018,4.819871681373099
17,825,57,2.2968974113464355,3.5789881835299036
18,16,1373,3.048649311065674,4.293078711839535
19,526,1260,5.000330448150635,6.141906759813294
20,498,835,4.817201137542725,5.959033987113206
21,498,1355,4.95582914352417,6.102154223168247
22,498,833,4.788577556610107,5.916958582307814
23,1207,1891,4.416736602783203,4.5402553126936995
24,498,840,4.882593631744385,6.094331840712056
