pair_id,idx_a,idx_b,euclidean,geodesic
0,580,435,0.04114917293190956,0.005087165732544524
1,349,184,0.06237000226974487,0.010369392367600825
2,210,27,0.08040831238031387,0.010698661077804579
3,51,11,0.009305129759013653,0.0007741878231646399
4,802,1238,0.020370982587337494,0.004665244530320823
5,1126,1306,0.11680466681718826,0.029647794753924237
6,1026,1097,0.029509739950299263,0.0076701525137922374
7,2028,1863,0.00971413403749466,0.00076327703875017
8,1797,1736,0.04631035029888153,0.00894612551856028
9,1747,2003,0.046074558049440384,0.009198376597795287
10,568,1670,0.023540612310171127,0.00393521547216319
11,1373,5,0.19342763721942902,0.038973677501467886
12,807,1755,0.19678995013237,0.04733988341273083
13,1135,68,0.1680477410554886,0.02944239991239524
14,1733,359,0.13523392379283905,0.02434307746025534
15,182,1767,0.1379815936088562,0.018782774461402738
16,45,1108,0.5404351949691772,0.11554261378335595
17,825,57,0.5197849869728088,0.12360630700430796
18,16,1373,0.2036355584859848,0.04072956254197398
19,526,1260,0.33283793926239014,0.07778383507385057
20,498,835,0.4964931011199951,0.12152124516965974
21,498,1355,0.5056418776512146,0.12400389690101722
22,498,833,0.5143188238143921,0.12664654466700453
23,1207,1891,0.3323865234851837,0.07686039716145969
24,498,840,0.50910884141922,0.12506863825536027
