pair_id,idx_a,idx_b,euclidean,geodesic
0,580,435,0.5341871380805969,1.2096969649058666
1,349,184,0.25533396005630493,1.1149270190316152
2,210,27,0.5845658779144287,1.2691324869530751
3,51,11,0.1135043278336525,0.9591201717156246
4,802,1238,3.9786746501922607,3.3631462752387598
5,1126,1306,2.111239433288574,2.196749071226296
6,1026,1097,2.6476099491119385,2.3665554096594748
7,2028,1863,1.7739841938018799,2.816951958091937
8,1797,1736,0.9559468626976013,1.5931889911668726
9,1747,2003,0.5123291611671448,1.4354327720916016
10,568,1670,1.2702020406723022,2.1991057832748098
11,1373,5,1.7148147821426392,2.934640669653672
12,807,1755,2.8389010429382324,3.280334199533993
13,1135,68,2.352362871170044,3.7070171006217056
14,1733,359,1.6032559871673584,2.883017597294299
15,182,1767,4.737753868103027,4.767472306217599
16,45,1108,3.88832426071167,5.456173282534022
17,825,57,2.436932325363159,4.0858635102496565
18,16,1373,2.940565347671509,4.31956213286177
19,526,1260,5.243666172027588,6.4621852421799275
20,498,835,4.712832450866699,6.2002035415217485
21,498,1355,4.832300186157227,6.24129673566535
22,498,833,4.668879985809326,6.080642767107902
23,1207,1891,4.454187870025635,5.016511927823662
24,498,840,4.723391532897949,6.142848265125031
