pair_id,idx_a,idx_b,euclidean,geodesic
0,580,435,0.0212002731859684,0.005201653581920108
1,349,184,0.0870867371559143,0.01662223069317721
2,210,27,0.0875474214553833,0.016096859026625363
3,51,11,0.013665160164237022,0.002956694002865217
4,802,1238,0.09061910212039948,0.016507525794824788
5,1126,1306,0.15406939387321472,0.052723437517217746
6,1026,1097,0.07646889239549637,0.02667633371895466
7,2028,1863,0.03836493566632271,0.008701084473146338
8,1797,1736,0.013589533977210522,0.0037214967333103048
9,1747,2003,0.10035474598407745,0.027680860691310885
10,568,1670,0.028912387788295746,0.008951764440706748
11,1373,5,0.3108135759830475,0.08177509504296387
12,807,1755,0.43024900555610657,0.1426308547455652
13,1135,68,0.22033332288265228,0.051458471562432204
14,1733,359,0.29438748955726624,0.08851584474043073
15,182,1767,0.2336365133523941,0.05338299947399131
16,45,1108,0.9180780649185181,0.28433235236422044
17,825,57,1.0287178754806519,0.32476718890281814
18,16,1373,0.25146403908729553,0.07043741309711474
19,526,1260,0.7460058331489563,0.2336609054918963
20,498,835,0.9432655572891235,0.30341529562625613
21,498,1355,0.9822226166725159,0.3143972619708243
22,498,833,0.9578372836112976,0.3074599818031987
23,1207,1891,0.5857610702514648,0.1937378925724385
24,498,840,0.9709812998771667,0.3106210608011917
