pair_id,idx_a,idx_b,euclidean,geodesic
0,580,435,0.5571309924125671,0.7765719545583248
1,349,184,0.24672482907772064,0.36470043708585753
2,210,27,0.5515248775482178,0.8266678351796516
3,51,11,0.0476563423871994,0.06906700026297317
4,802,1238,3.892265558242798,3.268705530392939
5,1126,1306,2.056633234024048,2.1398547937916685
6,1026,1097,2.492396831512451,2.1959186409503744
7,2028,1863,2.369253158569336,2.9083406865446886
8,1797,1736,1.0116736888885498,1.0372532746508567
9,1747,2003,0.5444854497909546,0.9977929077709942
10,568,1670,1.3713113069534302,1.7445155442415359
11,1373,5,1.8508366346359253,3.0628831584787357
12,807,1755,2.7592647075653076,3.1509114051986047
13,1135,68,2.4988760948181152,3.4377022423638324
14,1733,359,1.9030206203460693,3.3477306023868207
15,182,1767,5.480985164642334,5.230373207911933
16,45,1108,4.13778829574585,5.679652574686292
17,825,57,2.8824691772460938,4.398524010791659
18,16,1373,3.071071147918701,4.310309475720886
19,526,1260,5.2971696853637695,6.19334982802402
20,498,835,5.432590484619141,6.446907058909776
21,498,1355,5.475158214569092,6.645959197220748
22,498,833,5.332134246826172,6.365963384054994
23,1207,1891,3.6321003437042236,4.457677822706002
24,498,840,5.405289649963379,6.5690437752084945
