pair_id,idx_a,idx_b,euclidean,geodesic
0,580,435,0.5063026547431946,1.2505174996128898
1,349,184,0.259134978055954,1.200877530389627
2,210,27,0.4424053430557251,1.1585741654925317
3,51,11,0.12981946766376495,1.2701004395604527
4,802,1238,3.7800028324127197,3.4147459694698727
5,1126,1306,1.9460840225219727,2.4076255730731817
6,1026,1097,2.4370481967926025,2.2760989416904756
7,2028,1863,2.260741710662842,3.6396743777583787
8,1797,1736,1.2727946043014526,1.88738269062422
9,1747,2003,0.3674306273460388,1.494801254330324
10,568,1670,1.8017979860305786,2.555191596922795
11,1373,5,1.4247326850891113,2.8280685166256148
12,807,1755,2.691586494445801,3.16490150913105
13,1135,68,2.6691880226135254,4.0802242094030845
14,1733,359,1.9989866018295288,3.7287360995906678
15,182,1767,4.52351713180542,4.6096137550718135
16,45,1108,4.272517681121826,5.7565979627711075
17,825,57,2.779000997543335,4.582059347939744
18,16,1373,2.9241139888763428,4.343382017068198
19,526,1260,5.277457237243652,6.40032416953217
20,498,835,5.105023384094238,6.730347174522248
21,498,1355,5.129179954528809,6.841021546937567
22,498,833,5.093249797821045,6.684848723315531
23,1207,1891,3.443773031234741,4.687884302280442
24,498,840,5.071096897125244,6.772924137570937
