pair_id,idx_a,idx_b,euclidean,geodesic
0,580,435,0.5133000016212463,0.7627844764472138
1,349,184,0.26157045364379883,0.3760256846651781
2,210,27,0.5688844323158264,0.8506905527523232
3,51,11,0.1439632624387741,0.21449737370268174
4,802,1238,3.696481943130493,3.23153355311676
5,1126,1306,1.9567861557006836,2.075532601266108
6,1026,1097,2.456723928451538,2.0792068304286544
7,2028,1863,2.30668568611145,3.3683874554433006
8,1797,1736,1.3504250049591064,1.4381880564752176
9,1747,2003,0.47775760293006897,0.9691003965602745
10,568,1670,1.8660989999771118,2.1915932641833917
11,1373,5,1.720952033996582,2.9074871752415925
12,807,1755,2.7318453788757324,3.3925621019159613
13,1135,68,1.9168275594711304,2.452836523892176
14,1733,359,1.7354176044464111,3.0385856352353624
15,182,1767,3.6660752296447754,4.301502302464276
16,45,1108,3.950925588607788,5.499872552955648
17,825,57,2.6469016075134277,4.270462144057493
18,16,1373,2.9527997970581055,4.33771012646481
19,526,1260,4.966733455657959,6.094151253816608
20,498,835,5.2197957038879395,6.440678672807503
21,498,1355,5.468593597412109,6.978044956839827
22,498,833,5.169205665588379,6.4241758062835626
23,1207,1891,3.836153745651245,4.845782241267673
24,498,840,5.419167995452881,6.7891560538181555
