pair_id,idx_a,idx_b,euclidean,geodesic
0,580,435,0.47708722949028015,1.2201431332719848
1,349,184,0.12858165800571442,1.0595348721391527
2,210,27,0.5184794068336487,1.24152591769527
3,51,11,0.13261103630065918,1.1430316253285207
4,802,1238,3.4640848636627197,3.3556931301852035
5,1126,1306,1.7615783214569092,2.188609032832541
6,1026,1097,2.3700203895568848,2.3108430029355755
7,2028,1863,1.2181671857833862,2.3217740063889
8,1797,1736,1.0470232963562012,1.60864974781777
9,1747,2003,0.5359825491905212,1.4106046011433915
10,568,1670,1.8048301935195923,2.454371919020469
11,1373,5,1.6503771543502808,3.0945083767556736
12,807,1755,2.5923428535461426,3.304774073555724
13,1135,68,2.3237061500549316,3.71492936510011
14,1733,359,1.8953667879104614,3.4179525669259747
15,182,1767,4.943033695220947,4.9222262786970985
16,45,1108,3.6958024501800537,5.276066871977007
17,825,57,2.4908666610717773,4.226908840578138
18,16,1373,2.8906679153442383,4.4532907555499675
19,526,1260,4.870997905731201,6.464343057933598
20,498,835,4.93929386138916,6.385733152162326
21,498,1355,5.06768798828125,6.604643153702109
22,498,833,4.884710788726807,6.299642328675358
23,1207,1891,3.6504883766174316,4.447766530036496
24,498,840,5.019917011260986,6.555772221032584
