pair_id,idx_a,idx_b,euclidean,geodesic
0,580,435,0.5091999769210815,1.261719647575508
1,349,184,0.1866728812456131,1.2579358437285069
2,210,27,0.4775831997394562,1.2972685435100602
3,51,11,0.05574791133403778,1.195343416100901
4,802,1238,3.873176336288452,3.4891525837757014
5,1126,1306,1.9440088272094727,2.354901348242604
6,1026,1097,2.5558764934539795,2.5584703721445754
7,2028,1863,1.8387235403060913,3.1594723408208703
8,1797,1736,1.264624834060669,1.8600601088132709
9,1747,2003,0.42768627405166626,1.3991879628605366
10,568,1670,1.8269004821777344,2.452771884262629
11,1373,5,1.5331109762191772,2.9346175965928545
12,807,1755,2.475743055343628,3.1724399007240556
13,1135,68,2.4695305824279785,3.690823366678963
14,1733,359,1.7946186065673828,3.4217086124465963
15,182,1767,3.7377912998199463,4.386688966047042
16,45,1108,3.9156997203826904,5.626192093733197
17,825,57,2.552886962890625,4.473869112640213
18,16,1373,2.930964469909668,4.289399792136684
19,526,1260,4.9676337242126465,6.227999608700739
20,498,835,4.885663032531738,6.302867224835555
21,498,1355,4.995423316955566,6.8221937733297615
22,498,833,4.884283542633057,6.264413921102464
23,1207,1891,3.325373649597168,4.716046499901522
24,498,840,4.913071632385254,6.681590098190278
