pair_id,idx_a,idx_b,euclidean,geodesic
0,580,435,0.5876906514167786,1.1637890897878955
1,349,184,0.26300284266471863,1.067852841654288
2,210,27,0.5097092986106873,1.0905287582649272
3,51,11,0.14495812356472015,1.2547736094416526
4,802,1238,3.7692697048187256,3.4589239941264327
5,1126,1306,1.8175761699676514,2.1594960202257494
6,1026,1097,2.576509714126587,2.277491046205375
7,2028,1863,1.0694197416305542,2.6012010294581804
8,1797,1736,0.887836754322052,1.5697396974962148
9,1747,2003,0.3312109112739563,1.2972881164714574
10,568,1670,2.6522815227508545,2.9199524128315315
11,1373,5,1.4893381595611572,2.7917637499729167
12,807,1755,2.2876107692718506,3.0583906045344804
13,1135,68,2.559178590774536,3.4114742987261595
14,1733,359,1.9969890117645264,3.7263813094709213
15,182,1767,3.3556606769561768,4.06497985271796
16,45,1108,4.184769153594971,5.882153640063518
17,825,57,2.759007215499878,4.785875264858169
18,16,1373,3.1426897048950195,4.46046009615703
19,526,1260,5.137052059173584,6.878919281911989
20,498,835,4.988656997680664,7.110311257890334
21,498,1355,4.971715927124023,6.6597896709966795
22,498,833,4.928938865661621,6.990892480022585
23,1207,1891,2.1637496948242188,3.9937592937618045
24,498,840,4.955489635467529,6.644413556240133
