pair_id,idx_a,idx_b,euclidean,geodesic
0,580,435,0.6931241750717163,1.1959373486481135
1,349,184,0.26330411434173584,0.9292421315998968
2,210,27,0.5477792620658875,1.1070445122526757
3,51,11,0.34278765320777893,1.37169692636874
4,802,1238,3.815830945968628,3.4650979276748393
5,1126,1306,1.9876965284347534,2.3152244602413927
6,1026,1097,2.6036880016326904,2.193300023893679
7,2028,1863,1.6989959478378296,2.4262687942586676
8,1797,1736,0.6975967884063721,1.1534118357624443
9,1747,2003,0.4629863500595093,1.3398151450259403
10,568,1670,0.7417290806770325,1.962113958403155
11,1373,5,2.529198169708252,3.8937044633924374
12,807,1755,2.2376723289489746,2.9334352656195715
13,1135,68,1.7536135911941528,3.38463812850433
14,1733,359,1.8184107542037964,3.4687058729509532
15,182,1767,3.096561908721924,4.743806716519581
16,45,1108,4.6853461265563965,6.331185361451257
17,825,57,3.9878034591674805,5.145437475054224
18,16,1373,2.197352886199951,4.039562792018361
19,526,1260,4.4286627769470215,6.076809699125419
20,498,835,4.026493549346924,5.857312136872168
21,498,1355,4.021176815032959,5.828895988296824
22,498,833,4.0815911293029785,5.937295046832735
23,1207,1891,3.7394161224365234,4.548608193950672
24,498,840,3.9602575302124023,5.762971593132483
