pair_id,idx_a,idx_b,euclidean,geodesic
0,580,435,0.4788292348384857,1.1263495933199739
1,349,184,0.2055053412914276,1.010078780057277
2,210,27,0.5692281723022461,1.2240804354318067
3,51,11,0.08447378873825073,1.1080573947893673
4,802,1238,4.444863796234131,3.7733567507615904
5,1126,1306,2.3477115631103516,2.3588692836792275
6,1026,1097,2.707089900970459,2.38861338433856
7,2028,1863,1.7863959074020386,3.1684118447834497
8,1797,1736,0.9393219351768494,1.6103132901521977
9,1747,2003,0.43050432205200195,1.1644982156146126
10,568,1670,2.2888505458831787,2.6671412065597053
11,1373,5,2.5304853916168213,4.594874653066455
12,807,1755,2.332972764968872,2.9532025039432828
13,1135,68,2.0255913734436035,3.294192990475223
14,1733,359,2.146486282348633,4.265414166392785
15,182,1767,2.4357733726501465,4.045234259198346
16,45,1108,3.1978323459625244,4.564600839701722
17,825,57,2.7369213104248047,4.179374212484855
18,16,1373,3.0730762481689453,5.394320871282456
19,526,1260,5.653270244598389,7.322884774353413
20,498,835,4.578307628631592,6.130112052254295
21,498,1355,4.530644416809082,6.0615790542649455
22,498,833,4.598198890686035,6.152233071921141
23,1207,1891,1.7268389463424683,3.4837320187819447
24,498,840,4.501308917999268,6.0347801511047585
