pair_id,idx_a,idx_b,euclidean,geodesic
0,580,435,0.5220727920532227,1.2693236195896493
1,349,184,0.1780046820640564,1.1952998341406662
2,210,27,0.5176774859428406,1.2579468365126272
3,51,11,0.1813536435365677,1.2032994725930855
4,802,1238,3.9604134559631348,3.5776017651855536
5,1126,1306,2.048245668411255,2.4800200289255874
6,1026,1097,2.5281779766082764,2.3883150197525116
7,2028,1863,2.0807371139526367,3.1285439804226765
8,1797,1736,1.0466521978378296,1.5657284761448078
9,1747,2003,0.4910622835159302,1.5125477806930248
10,568,1670,1.6134018898010254,2.301772313806675
11,1373,5,1.6505916118621826,3.08536541621684
12,807,1755,2.7204246520996094,3.457665681544708
13,1135,68,2.336310863494873,3.293503035781826
14,1733,359,1.7629984617233276,3.2777163415384774
15,182,1767,4.604515075683594,4.777821028067619
16,45,1108,4.040518283843994,5.816751545429783
17,825,57,2.5311708450317383,4.407970336121927
18,16,1373,2.9335668087005615,4.372305121814701
19,526,1260,4.9488935470581055,6.42704204956183
20,498,835,4.916988372802734,6.508654188517249
21,498,1355,4.946830749511719,6.410051213623749
22,498,833,4.843932151794434,6.47151073570867
23,1207,1891,3.336460590362549,4.4513441306072705
24,498,840,4.900691509246826,6.367014652082559
