pair_id,idx_a,idx_b,euclidean,geodesic
0,580,435,0.513214647769928,1.3060296744382593
1,349,184,0.17363573610782623,1.2474258143167536
2,210,27,0.5470582246780396,1.3042638399202575
3,51,11,0.1200978234410286,1.1268282445939293
4,802,1238,3.9936976432800293,3.5133347574866907
5,1126,1306,1.9763840436935425,2.1811574265912066
6,1026,1097,2.513639450073242,2.3955201538614013
7,2028,1863,2.0989346504211426,3.050261820827541
8,1797,1736,0.9530476331710815,1.5642500422915002
9,1747,2003,0.4773162603378296,1.5198379638536634
10,568,1670,1.3345186710357666,2.3248006140419974
11,1373,5,1.7803115844726562,3.198639347954641
12,807,1755,2.6118483543395996,3.2657669255567745
13,1135,68,2.184675931930542,3.179413954756934
14,1733,359,1.6982365846633911,3.1615378020519875
15,182,1767,3.79548978805542,4.400812351490045
16,45,1108,3.9888124465942383,5.667997017072863
17,825,57,2.82448148727417,4.664608410655267
18,16,1373,2.9422404766082764,4.445607046549335
19,526,1260,5.1141037940979,6.325692771395552
20,498,835,4.621456623077393,6.356377722433127
21,498,1355,4.6873602867126465,6.368671342627923
22,498,833,4.6914167404174805,6.397958739910539
23,1207,1891,3.5765857696533203,4.638485399212339
24,498,840,4.6170806884765625,6.292539253945991
