pair_id,idx_a,idx_b,euclidean,geodesic
0,580,435,0.5238533616065979,1.134163938281281
1,349,184,0.225088968873024,1.1090577437534495
2,210,27,0.6380645632743835,1.2694001584961838
3,51,11,0.1079544797539711,1.086966486760776
4,802,1238,4.854103088378906,3.8719988860845933
5,1126,1306,2.297769546508789,2.5248934203967486
6,1026,1097,3.2731151580810547,2.823489695215918
7,2028,1863,0.8925120234489441,1.9921805587348438
8,1797,1736,0.6493737101554871,1.4242923016579616
9,1747,2003,0.5495355129241943,1.4967146498897443
10,568,1670,2.7469160556793213,3.422159818875754
11,1373,5,2.3122072219848633,3.9893058633887026
12,807,1755,2.3324625492095947,3.3011860074503727
13,1135,68,2.14668869972229,3.415390908472736
14,1733,359,2.0442748069763184,3.5753753625107842
15,182,1767,1.731825828552246,3.4940919057094697
16,45,1108,3.849583625793457,5.972806341107914
17,825,57,3.127431631088257,6.109873875691336
18,16,1373,3.1036977767944336,4.483978360276152
19,526,1260,5.346693992614746,6.303065435216046
20,498,835,4.9696221351623535,6.984624324845862
21,498,1355,5.083474636077881,7.245152661681081
22,498,833,4.949675559997559,6.909573821024246
23,1207,1891,2.5093181133270264,3.972470679586056
24,498,840,5.110405445098877,7.2782332429088585
