pair_id,idx_a,idx_b,euclidean,geodesic
0,580,435,0.5223614573478699,1.1664578160042196
1,349,184,0.22251714766025543,1.110205004035614
2,210,27,0.5960856080055237,1.2280144328657787
3,51,11,0.08252319693565369,1.3009126155836543
4,802,1238,4.802006244659424,3.8116921991767185
5,1126,1306,2.0364396572113037,2.3420174870998705
6,1026,1097,2.9308738708496094,2.465169797392132
7,2028,1863,1.593704104423523,2.8111515627360073
8,1797,1736,1.0000628232955933,1.6908771489035879
9,1747,2003,0.5628602504730225,1.534516256942971
10,568,1670,2.7186074256896973,2.8367619432645217
11,1373,5,2.3784706592559814,4.386109986700024
12,807,1755,1.9919819831848145,3.1767551106659275
13,1135,68,2.0523784160614014,3.4180979328266115
14,1733,359,2.1343131065368652,4.429099069093259
15,182,1767,2.2032315731048584,3.763329783849898
16,45,1108,3.2257235050201416,4.877322695123143
17,825,57,2.468836545944214,4.204894193390876
18,16,1373,3.0021145343780518,4.916832851036751
19,526,1260,5.175327777862549,6.452530286230864
20,498,835,4.128550052642822,6.0366000624292395
21,498,1355,4.244717597961426,6.084330786185335
22,498,833,4.160688877105713,6.075012194460337
23,1207,1891,1.551215410232544,3.2196476249517465
24,498,840,4.242945194244385,6.067262018076695
