pair_id,idx_a,idx_b,euclidean,geodesic
0,580,435,0.5183036923408508,0.7853048762760887
1,349,184,0.1058594137430191,0.1367174965937244
2,210,27,0.6097677946090698,0.9370350002400148
3,51,11,0.03054787777364254,0.03382007761673446
4,802,1238,4.0164666175842285,3.508050923220361
5,1126,1306,2.1383602619171143,2.2474945742124723
6,1026,1097,2.6262638568878174,2.35878296554648
7,2028,1863,2.0512990951538086,2.8156053142303983
8,1797,1736,0.8577814698219299,1.0288021049421618
9,1747,2003,0.4427069425582886,0.9313329992493959
10,568,1670,2.604511260986328,3.278846514405158
11,1373,5,2.2147789001464844,4.11708534881282
12,807,1755,2.314605474472046,3.353609611425022
13,1135,68,3.1253955364227295,4.91689646986651
14,1733,359,2.0210726261138916,3.801563523524061
15,182,1767,1.4446052312850952,2.2271259866406017
16,45,1108,3.7726058959960938,5.228141511935503
17,825,57,3.080655097961426,4.8768166311746395
18,16,1373,3.4338223934173584,5.227452315008572
19,526,1260,5.438383102416992,7.275386430367918
20,498,835,4.510746479034424,5.8424553890589985
21,498,1355,4.3186750411987305,5.607708271595998
22,498,833,4.576998233795166,5.936058110284288
23,1207,1891,1.673864483833313,3.2475544458161187
24,498,840,4.301828861236572,5.584388614204603
