pair_id,idx_a,idx_b,euclidean,geodesic
0,580,435,0.5829001069068909,0.7836092231417028
1,349,184,0.15157732367515564,0.20118504083012742
2,210,27,0.5907338261604309,0.8110654711584027
3,51,11,0.07741747796535492,0.09005432744242532
4,802,1238,4.1906867027282715,3.4024879608950336
5,1126,1306,1.8743091821670532,2.0839830021375514
6,1026,1097,2.363668918609619,2.0213231414036392
7,2028,1863,1.870671033859253,2.4917505532967654
8,1797,1736,0.9649351835250854,1.1662631131627825
9,1747,2003,0.398902028799057,1.0021809993636552
10,568,1670,1.8219786882400513,2.2414109217693774
11,1373,5,1.5678447484970093,2.3891760729881875
12,807,1755,2.484405040740967,3.1111526391875617
13,1135,68,2.267016649246216,2.8720087163468815
14,1733,359,1.7665953636169434,2.9685238400697576
15,182,1767,3.8031656742095947,3.9244332651526537
16,45,1108,4.25114107131958,5.635367778159398
17,825,57,3.0061752796173096,4.529097052176319
18,16,1373,3.1933016777038574,4.22792107540728
19,526,1260,5.392207145690918,6.479195973942292
20,498,835,4.939696311950684,6.760377606561692
21,498,1355,4.9415459632873535,6.62894020229225
22,498,833,5.004284858703613,6.859333012133023
23,1207,1891,2.621347665786743,4.043388602897695
24,498,840,4.896421432495117,6.593093333156071
