pair_id,idx_a,idx_b,euclidean,geodesic
0,580,435,0.59012371301651,1.1910633531755441
1,349,184,0.24250711500644684,0.9910891002321633
2,210,27,0.5086575746536255,1.0375785269376352
3,51,11,0.10849417001008987,0.9775345808873448
4,802,1238,3.989009380340576,3.531978700783124
5,1126,1306,2.137404441833496,2.1729572261878607
6,1026,1097,2.662583827972412,2.3635296147256244
7,2028,1863,1.6214488744735718,3.0145154107453314
8,1797,1736,1.0209741592407227,1.6790896749081201
9,1747,2003,0.35484451055526733,1.1100579966609527
10,568,1670,2.8069324493408203,2.9430849267577037
11,1373,5,2.453531503677368,4.295980020430437
12,807,1755,2.4123964309692383,2.999297536623501
13,1135,68,1.8696706295013428,3.211714230633755
14,1733,359,2.236301898956299,4.436653378813286
15,182,1767,1.940890908241272,3.3306786138393063
16,45,1108,3.6761677265167236,4.831873947457261
17,825,57,2.9145588874816895,4.2679155508765705
18,16,1373,3.1066761016845703,5.446414173830822
19,526,1260,5.479803085327148,6.260508743429922
20,498,835,4.753108978271484,6.310453479752242
21,498,1355,4.847554683685303,6.288280898151158
22,498,833,4.755964756011963,6.389565974675163
23,1207,1891,1.7216113805770874,3.4640479308197514
24,498,840,4.826765060424805,6.266767060037067
