pair_id,idx_a,idx_b,euclidean,geodesic
0,580,435,0.012076233513653278,1.8312900890349824
1,349,184,0.08507085591554642,1.8227878488711151
2,210,27,0.057138193398714066,1.8299505134311844
3,51,11,0.013551682233810425,1.8377605071916234
4,802,1238,0.013935190625488758,1.813306366016378
5,1126,1306,0.14606501162052155,1.7879461945325583
6,1026,1097,0.03779681399464607,1.7993372094285864
7,2028,1863,0.0161747969686985,1.8171257972901849
8,1797,1736,0.025632109493017197,1.8289782497307838
9,1747,2003,0.04593493789434433,1.8278264511079472
10,568,1670,0.05768807232379913,1.8300791020833505
11,1373,5,0.14590413868427277,1.8240762855070292
12,807,1755,0.20028285682201385,1.8143342700871499
13,1135,68,0.11402247101068497,1.8315719321515231
14,1733,359,0.14459633827209473,1.8226640435422947
15,182,1767,0.10369950532913208,1.8411041931306817
16,45,1108,0.49390342831611633,1.8097776818074531
17,825,57,0.5463854670524597,1.802707527266563
18,16,1373,0.11736524850130081,1.822911253421557
19,526,1260,0.3780062794685364,1.8151770585765301
20,498,835,0.5807260870933533,1.8044621050230885
21,498,1355,0.5907883644104004,1.804632871387234
22,498,833,0.5975852608680725,1.8035298387191687
23,1207,1891,0.44113269448280334,1.8111504101276263
24,498,840,0.577752947807312,1.8052968899562254
