pair_id,idx_a,idx_b,euclidean,geodesic
0,580,435,0.5476338267326355,1.4455292410332379
1,349,184,0.23032084107398987,1.382829956978991
2,210,27,0.46845710277557373,1.3569436527632963
3,51,11,0.09915192425251007,1.2934379533028206
4,802,1238,3.7074849605560303,3.5021731578253776
5,1126,1306,1.9036993980407715,2.368591798516939
6,1026,1097,2.5368282794952393,2.3984834250361913
7,2028,1863,2.0456836223602295,3.014975047854388
8,1797,1736,0.9139426350593567,1.692601581043838
9,1747,2003,0.5932881236076355,1.8495212038448436
10,568,1670,1.4302054643630981,2.39848163576553
11,1373,5,1.5621495246887207,2.7782308929481094
12,807,1755,2.677879571914673,3.3519244232033616
13,1135,68,2.2532577514648438,3.4967576403521776
14,1733,359,1.6792314052581787,3.1908394766670627
15,182,1767,4.313567161560059,4.6023064677396315
16,45,1108,3.7126731872558594,5.401940894121666
17,825,57,2.739844799041748,4.530511624915678
18,16,1373,2.695598602294922,4.155588886197583
19,526,1260,4.6525492668151855,6.170288500107636
20,498,835,4.568398475646973,6.35685961415326
21,498,1355,4.66521692276001,6.289769406602472
22,498,833,4.575169563293457,6.34495194797943
23,1207,1891,3.812652111053467,4.7212737957327215
24,498,840,4.657999515533447,6.2795186100041676
