pair_id,idx_a,idx_b,euclidean,geodesic
0,580,435,0.05140889436006546,2.128424297690034
1,349,184,0.11421715468168259,2.11113490403582
2,210,27,0.08731493353843689,2.1207305428627437
3,51,11,0.01856323890388012,2.1304080810413666
4,802,1238,0.057478614151477814,2.0718914416827356
5,1126,1306,0.15727582573890686,2.0322157691327987
6,1026,1097,0.07172686606645584,2.030807094704492
7,2028,1863,0.024000484496355057,2.0817543403889007
8,1797,1736,0.03786034882068634,2.0994142805435274
9,1747,2003,0.09579304605722427,2.0943698250283442
10,568,1670,0.055378373712301254,2.1121728497056513
11,1373,5,0.20309242606163025,2.1064987352694744
12,807,1755,0.2795864939689636,2.0660728950085505
13,1135,68,0.2000933736562729,2.106027504236897
14,1733,359,0.1608428806066513,2.1008710326348354
15,182,1767,0.2520466148853302,2.1184126908959393
16,45,1108,0.6937472224235535,2.0802667809840925
17,825,57,0.7669972777366638,2.0752445995985247
18,16,1373,0.17573986947536469,2.1050627534623296
19,526,1260,0.47199174761772156,2.0767582579366235
20,498,835,0.762683093547821,2.0720303300309375
21,498,1355,0.7587133646011353,2.0720266479413465
22,498,833,0.7744685411453247,2.071990402022707
23,1207,1891,0.4120449721813202,2.071104308525578
24,498,840,0.7609595656394958,2.0720468993531242
