pair_id,idx_a,idx_b,euclidean,geodesic
0,580,435,0.6195325255393982,0.8473678309138333
1,349,184,0.19069361686706543,0.28886431266380674
2,210,27,0.5767541527748108,0.8337214321177836
3,51,11,0.2060723900794983,0.252521465305024
4,802,1238,3.7203383445739746,3.0858951613986427
5,1126,1306,2.080733060836792,2.0471983210173295
6,1026,1097,2.6454315185546875,2.065918488075301
7,2028,1863,2.002422571182251,2.754555829861544
8,1797,1736,1.095831274986267,1.4392337295436852
9,1747,2003,0.35673806071281433,1.0236970994484
10,568,1670,2.4484362602233887,2.7939960004467963
11,1373,5,1.714759349822998,2.6369406373651634
12,807,1755,2.1669180393218994,2.697662479007886
13,1135,68,2.6710026264190674,3.4955496423224943
14,1733,359,2.0130155086517334,3.6755570800400874
15,182,1767,3.419865369796753,3.668566702791709
16,45,1108,4.436089992523193,6.184184717891276
17,825,57,3.5060346126556396,5.404047346403247
18,16,1373,3.2885117530822754,4.347073388251765
19,526,1260,5.788498401641846,7.1444145848012965
20,498,835,4.882241725921631,6.295623882183398
21,498,1355,4.760436534881592,5.983995709463611
22,498,833,4.90618371963501,6.337434076872984
23,1207,1891,2.662184953689575,4.203321714654929
24,498,840,4.715553283691406,5.924307210473835
