pair_id,idx_a,idx_b,euclidean,geodesic
0,580,435,0.515671968460083,1.3863743743963861
1,349,184,0.0888044461607933,1.334317479915118
2,210,27,0.4590422511100769,1.2937129895357464
3,51,11,0.10153517127037048,1.3204232344379274
4,802,1238,3.938886880874634,3.5594407716054755
5,1126,1306,2.0227346420288086,2.4381526171174537
6,1026,1097,2.615283250808716,2.5188880750044085
7,2028,1863,1.9864518642425537,3.1301594675897113
8,1797,1736,1.0834600925445557,1.8162898200671984
9,1747,2003,0.4631267786026001,1.4911198016723717
10,568,1670,2.047846555709839,2.705756697944529
11,1373,5,1.7098051309585571,3.226727719267926
12,807,1755,2.664961338043213,3.3001373204646107
13,1135,68,2.615825891494751,3.796268744398861
14,1733,359,1.9257019758224487,3.609763384643824
15,182,1767,3.4760894775390625,4.22292545106285
16,45,1108,4.296166896820068,6.025819854038957
17,825,57,2.9789469242095947,4.946835733765117
18,16,1373,3.190045118331909,4.58474138768142
19,526,1260,5.5271077156066895,6.55834189789668
20,498,835,5.068059921264648,6.762015492116607
21,498,1355,5.089966297149658,6.681477910178929
22,498,833,5.068155765533447,6.917136057663921
23,1207,1891,2.6152989864349365,4.278482029620226
24,498,840,5.034243106842041,6.617230736096944
