pair_id,idx_a,idx_b,euclidean,geodesic
0,580,435,0.6149906516075134,0.8224025077782516
1,349,184,0.2595430910587311,0.36598440666151366
2,210,27,0.4983226954936981,0.7338310824667346
3,51,11,0.16607141494750977,0.23851141210259644
4,802,1238,4.053618907928467,3.446446653780313
5,1126,1306,2.1251933574676514,2.2282158318151892
6,1026,1097,2.7016923427581787,2.296113802837537
7,2028,1863,1.7678600549697876,2.675006927053449
8,1797,1736,1.027801752090454,1.3189616770147854
9,1747,2003,0.4537387490272522,1.1159362722030632
10,568,1670,2.840045928955078,2.7446052348010745
11,1373,5,1.6481517553329468,2.77367449540342
12,807,1755,2.4535202980041504,2.970012195703404
13,1135,68,2.2935540676116943,2.6257996022503276
14,1733,359,1.9077545404434204,3.3323327629096755
15,182,1767,3.127084970474243,3.8364205299080294
16,45,1108,3.9117486476898193,5.675928102130667
17,825,57,2.85022234916687,4.5735565409857735
18,16,1373,3.147900342941284,4.3476913464441465
19,526,1260,5.145872592926025,6.215870252769726
20,498,835,5.082520008087158,6.9608492690466095
21,498,1355,5.123533248901367,6.324874985254773
22,498,833,5.032087326049805,6.877039381470552
23,1207,1891,2.557016611099243,4.172575131077607
24,498,840,5.064064979553223,6.220481439829374
