pair_id,idx_a,idx_b,euclidean,geodesic
0,580,435,0.5774543881416321,1.3632294390869957
1,349,184,0.3234699070453644,1.217796686435426
2,210,27,0.5633238554000854,1.3784881909030293
3,51,11,0.14566487073898315,0.9364389136779254
4,802,1238,4.231456756591797,3.561499471874056
5,1126,1306,1.8760175704956055,2.20603793586629
6,1026,1097,2.6962904930114746,2.4108654196861297
7,2028,1863,1.7751984596252441,2.8553420011305843
8,1797,1736,0.9167704582214355,1.575305875716218
9,1747,2003,0.3680318593978882,1.4928183295679331
10,568,1670,1.2083672285079956,2.2276854778437194
11,1373,5,1.77297043800354,2.976677359219691
12,807,1755,2.553717851638794,3.2793015280640008
13,1135,68,2.6441872119903564,3.7793318241681835
14,1733,359,1.8752100467681885,3.379318864799567
15,182,1767,4.204134941101074,4.294760665886528
16,45,1108,4.264477252960205,5.791975969064504
17,825,57,3.0003128051757812,4.693083629214982
18,16,1373,3.016331195831299,4.435869159017526
19,526,1260,5.130773544311523,6.504655198056655
20,498,835,4.683776378631592,6.32038613407354
21,498,1355,4.637587070465088,6.31992168184838
22,498,833,4.698769569396973,6.34668442079855
23,1207,1891,3.294145345687866,4.676535026961568
24,498,840,4.599751949310303,6.2685342251428375
