pair_id,idx_a,idx_b,euclidean,geodesic
0,580,435,0.5146723389625549,1.3494803205470702
1,349,184,0.3591172397136688,1.2476234732701559
2,210,27,0.5418782234191895,1.3336234770435502
3,51,11,0.043595362454652786,1.147241709443339
4,802,1238,3.883681297302246,3.5176593235266607
5,1126,1306,2.0469439029693604,2.473758783156198
6,1026,1097,2.4848952293395996,2.4752265864987995
7,2028,1863,2.023608684539795,3.1090303929739953
8,1797,1736,1.2945524454116821,1.7310327854985375
9,1747,2003,0.6277714967727661,1.6608933910351613
10,568,1670,1.65011727809906,2.3569884703802892
11,1373,5,1.5316373109817505,2.779830570409482
12,807,1755,2.6670727729797363,3.181856432598117
13,1135,68,2.3011281490325928,3.3788255273955885
14,1733,359,1.8158178329467773,3.260937113960656
15,182,1767,4.821665287017822,5.1098535529425435
16,45,1108,3.755566358566284,5.201736952382093
17,825,57,2.3626933097839355,4.063847714401907
18,16,1373,3.002026319503784,4.229968716841649
19,526,1260,4.822207450866699,6.276783432133552
20,498,835,4.898003578186035,6.078431893963342
21,498,1355,5.033604621887207,6.294556751841105
22,498,833,4.868249416351318,6.036800064362729
23,1207,1891,4.226337909698486,4.811691612616789
24,498,840,4.955230712890625,6.202456190822493
